"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId"
"2025-06-30 07:49:56",1751269796505,"mern-project-reminisce.vercel.app/api/posts","GET","",-1,"5j9cs-1751269796264-62b568d4fa84","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find package 'dotenv' imported from /var/task/server/index.js
    at Object.getPackageJSONURL (node:internal/modules/package_json_reader:268:9)
    at packageResolve (node:internal/modules/esm/resolve:774:81)
    at moduleResolve (node:internal/modules/esm/resolve:860:18)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZX0TF3MBF0246X61BFBSPS",""
"2025-06-30 07:49:56",1751269796323,"mern-project-reminisce.vercel.app/api/posts","GET","",500,"5j9cs-1751269796264-62b568d4fa84","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",165,"iad1",89,2048,"","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZX0TF3MBF0246X61BFBSPS",""
"2025-06-30 07:49:55",1751269795001,"mern-project-reminisce.vercel.app/favicon.ico","GET","",-1,"p59t5-1751269794788-b8e6e3923e0f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find package 'dotenv' imported from /var/task/server/index.js
    at Object.getPackageJSONURL (node:internal/modules/package_json_reader:268:9)
    at packageResolve (node:internal/modules/esm/resolve:774:81)
    at moduleResolve (node:internal/modules/esm/resolve:860:18)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZX0S065ZZCSZ3JXPP1EGQ2",""
"2025-06-30 07:49:54",1751269794822,"mern-project-reminisce.vercel.app/favicon.ico","GET","",500,"p59t5-1751269794788-b8e6e3923e0f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",164,"iad1",89,2048,"","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZX0S065ZZCSZ3JXPP1EGQ2",""
"2025-06-30 07:49:54",1751269794130,"mern-project-reminisce.vercel.app/api/posts","GET","",-1,"8dgmx-1751269793912-5239a1388f9f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find package 'dotenv' imported from /var/task/server/index.js
    at Object.getPackageJSONURL (node:internal/modules/package_json_reader:268:9)
    at packageResolve (node:internal/modules/esm/resolve:774:81)
    at moduleResolve (node:internal/modules/esm/resolve:860:18)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZX0R4ZVB2Y9KT5WBBFHHKZ",""
"2025-06-30 07:49:53",1751269793951,"mern-project-reminisce.vercel.app/api/posts","GET","",500,"8dgmx-1751269793912-5239a1388f9f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",160,"iad1",88,2048,"","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZX0R4ZVB2Y9KT5WBBFHHKZ",""
"2025-06-30 07:48:14",1751269694274,"mern-project-reminisce.vercel.app/favicon.ico","GET","",-1,"l2k92-1751269694046-bbf31946079b","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find package 'dotenv' imported from /var/task/server/index.js
    at Object.getPackageJSONURL (node:internal/modules/package_json_reader:268:9)
    at packageResolve (node:internal/modules/esm/resolve:774:81)
    at moduleResolve (node:internal/modules/esm/resolve:860:18)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZWXPM8NRX3TRNJK0NVXB7J",""
"2025-06-30 07:48:14",1751269694088,"mern-project-reminisce.vercel.app/favicon.ico","GET","",500,"l2k92-1751269694046-bbf31946079b","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",161,"iad1",88,2048,"","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZWXPM8NRX3TRNJK0NVXB7J",""
"2025-06-30 07:48:13",1751269693071,"mern-project-reminisce.vercel.app/api/health","GET","",-1,"l8cxw-1751269692834-863c99c1d317","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find package 'dotenv' imported from /var/task/server/index.js
    at Object.getPackageJSONURL (node:internal/modules/package_json_reader:268:9)
    at packageResolve (node:internal/modules/esm/resolve:774:81)
    at moduleResolve (node:internal/modules/esm/resolve:860:18)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:990:14)
    at defaultResolve (node:internal/modules/esm/resolve:1033:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:780:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:704:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:687:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:305:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:137:49) {
  code: 'ERR_MODULE_NOT_FOUND'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZWXNEV6WWZV4AXW1TS8BQB",""
"2025-06-30 07:48:12",1751269692891,"mern-project-reminisce.vercel.app/api/health","GET","",500,"l8cxw-1751269692834-863c99c1d317","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server/index.js","mern-project-reminisce.vercel.app","mern-project-reminisce.vercel.app","dpl_FHvgRkCvU6rf9TBuzFfC1h9hgwKE",165,"iad1",88,2048,"","prj_vK7PLNuC1ClfPDhlAzjb7TWPopIJ","","","01JYZWXNEV6WWZV4AXW1TS8BQB",""
